method	20	40	60	80
1	PMM	0.101199999999999	0.101369999999997	0.101349999999995	0.1023
2	CART	0.602040000000004	0.627459999999999	0.640860000000001	0.639550000000005
3	RF	1.00735000000001	1.01215	0.989269999999996	0.994649999999999
4	ParamDefault_predicted	1.86751	1.97423	2.04909	2.05634
5	ParamDefault_predicted.observed	2.06359	2.11853	2.10129	2.506
6	ParamDefault_original_observed	2.29017	2.56071	2.5458	2.50515
7	Random_predicted	37.414	31.75157	29.32893	28.4546
8	Random_predicted.observed	37.20259	31.51315	29.68158	28.78559
9	Random_original.observed	37.43501	32.01577	29.9179999999999	25.92068
10	AllParam_predicted	64.96625	68.36165	65.58093	59.37096
11	AllParam_predicted.observed	64.64511	67.6195700000001	65.6651299999999	59.63626
12	AllParam_original.observed	62.26728	65.1723599999999	63.5473700000002	57.6073399999999
13	Mixgb - Pmm.Null	2.72729	2.75106	2.77861	2.65826
14	Mixgb - Pmm.1	3.61647	3.51557	3.43545	3.4834
15	Mixgb - Pmm.2	3.4444	3.23028	2.99131	2.96996
