"","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","true_vals","cov","bias","width","method","percentage"
"1","(Intercept)",-0.768882591054423,4.59251000634361,-0.0804162967948519,514.044062756251,0.466458624128763,-9.93130959361911,8.39354441151026,-0.11438296016576,0.9,-0.654499630888663,18.3248540051294,"G1","20"
"2","x",3.30542296823896,1.37622069335127,2.33167163588001,470.074145103246,0.0779854501453082,0.552062410895839,6.05878352558209,3.07137064502332,0.9,0.234052323215648,5.50672111468625,"G1","20"
"3","z",0.953007029390386,2.99848671612159,0.347519916341066,265.377892895813,0.581057905173555,-5.02511687240596,6.93113093118673,1.01667552694845,1,-0.0636684975580666,11.9562478035927,"G1","20"
"4","I(z^2)",0.678878233743606,0.934703179680834,0.803613353414071,130.923697037913,0.496576903853633,-1.22642505796325,2.58418152545046,0.847676846995064,1,-0.168798613251458,3.81060658341371,"G1","20"
"5","x:z",3.11847045819636,1.0425013063417,3.02799683982528,221.895433256659,0.0319002596190602,1.0191225543585,5.21781836203421,3.04617174488686,1,0.0722987133094982,4.19869580767571,"G1","20"
"6","(Intercept)",0.822013589547398,5.97606166229538,0.255276353299631,49.3327375184103,0.274666674004436,-11.8950625698053,13.5390897489001,-0.11438296016576,0.9,0.936396549713159,25.4341523187054,"G1","60"
"7","x",2.73458234235707,1.86889268188617,1.40286242151504,45.3931411573681,0.457588326221313,-1.31311574445237,6.7822804291665,3.07137064502332,0.9,-0.336788302666247,8.09539617361887,"G1","60"
"8","z",-0.181869773538048,4.36349183079681,-0.083364259877815,16.2649996198482,0.588197232564555,-9.87111076528297,9.50737121820687,1.01667552694845,0.9,-1.1985453004865,19.3784819834898,"G1","60"
"9","I(z^2)",0.400190888888597,1.20961653707788,0.341894382892785,26.6352156504599,0.383360623835027,-2.23873989027783,3.03912166805502,0.847676846995064,0.9,-0.447485958106467,5.27786155833285,"G1","60"
"10","x:z",3.59057684876449,1.51396876015657,2.60000365840815,14.8065365371964,0.132967654781636,0.20560671741609,6.97554698011289,3.04617174488686,0.9,0.544405103877633,6.7699402626968,"G1","60"
"11","(Intercept)",-0.463276795034956,5.13484395419618,0.0185583136953052,477.608355671464,0.514667370331001,-11.2601800982898,10.3336265082199,-0.11438296016576,1,-0.348893834869196,21.5938066065097,"G2","20"
"12","x",3.22734362871116,1.56070093573481,2.1566753457247,451.490523258678,0.0831193934692906,-0.0867019259344202,6.54138918335674,3.07137064502332,1,0.155972983687844,6.62809110929116,"G2","20"
"13","z",1.09227312402798,3.1899208178491,0.39886162418156,185.934550186554,0.603416924505231,-5.4399152404131,7.62446148846905,1.01667552694845,1,0.0755975970795247,13.0643767288821,"G2","20"
"14","I(z^2)",0.709176303114116,0.982916950763168,0.834821910493559,151.026670078254,0.483987431264328,-1.35794029938557,2.7762929056138,0.847676846995064,1,-0.138500543880948,4.13423320499937,"G2","20"
