"","x","method","percentage"
"user.self...1",47.915,"G1","20"
"sys.self...2",0.985,"G1","20"
"elapsed...3",51.715,"G1","20"
"user.child...4",0,"G1","20"
"sys.child...5",0,"G1","20"
"user.self1...6",29.812,"G1","20"
"sys.self1...7",0.642,"G1","20"
"elapsed1...8",30.647,"G1","20"
"user.child1...9",0,"G1","20"
"sys.child1...10",0,"G1","20"
"user.self2...11",39.925,"G1","20"
"sys.self2...12",0.886,"G1","20"
"elapsed2...13",43.113,"G1","20"
"user.child2...14",0,"G1","20"
"sys.child2...15",0,"G1","20"
"user.self3...16",39.064,"G1","20"
"sys.self3...17",0.918,"G1","20"
"elapsed3...18",42.219,"G1","20"
"user.child3...19",0,"G1","20"
"sys.child3...20",0,"G1","20"
"user.self4...21",45.86,"G1","20"
"sys.self4...22",0.979,"G1","20"
"elapsed4...23",49.49,"G1","20"
"user.child4...24",0,"G1","20"
"sys.child4...25",0,"G1","20"
"user.self5...26",30.022,"G1","20"
"sys.self5...27",0.586,"G1","20"
"elapsed5...28",30.762,"G1","20"
"user.child5...29",0,"G1","20"
"sys.child5...30",0,"G1","20"
"user.self6...31",40.858,"G1","20"
"sys.self6...32",0.919,"G1","20"
"elapsed6...33",44.283,"G1","20"
"user.child6...34",0,"G1","20"
"sys.child6...35",0,"G1","20"
"user.self7...36",41.823,"G1","20"
"sys.self7...37",0.995,"G1","20"
"elapsed7...38",45.341,"G1","20"
"user.child7...39",0,"G1","20"
"sys.child7...40",0,"G1","20"
"user.self8...41",38.677,"G1","20"
"sys.self8...42",0.907,"G1","20"
"elapsed8...43",41.746,"G1","20"
"user.child8...44",0,"G1","20"
"sys.child8...45",0,"G1","20"
"user.self9...46",25.741,"G1","20"
"sys.self9...47",0.685,"G1","20"
"elapsed9...48",26.942,"G1","20"
"user.child9...49",0,"G1","20"
"sys.child9...50",0,"G1","20"
"user.self...51",35.151,"G1","60"
"sys.self...52",0.862,"G1","60"
"elapsed...53",37.716,"G1","60"
"user.child...54",0,"G1","60"
"sys.child...55",0,"G1","60"
"user.self1...56",25.513,"G1","60"
"sys.self1...57",0.728,"G1","60"
"elapsed1...58",26.662,"G1","60"
"user.child1...59",0,"G1","60"
"sys.child1...60",0,"G1","60"
"user.self2...61",36.143,"G1","60"
"sys.self2...62",0.881,"G1","60"
"elapsed2...63",38.638,"G1","60"
"user.child2...64",0,"G1","60"
"sys.child2...65",0,"G1","60"
"user.self3...66",33.63,"G1","60"
"sys.self3...67",0.801,"G1","60"
"elapsed3...68",35.753,"G1","60"
"user.child3...69",0,"G1","60"
"sys.child3...70",0,"G1","60"
"user.self4...71",38.684,"G1","60"
"sys.self4...72",0.87,"G1","60"
"elapsed4...73",41.333,"G1","60"
"user.child4...74",0,"G1","60"
"sys.child4...75",0,"G1","60"
"user.self5...76",26.677,"G1","60"
"sys.self5...77",0.691,"G1","60"
"elapsed5...78",27.592,"G1","60"
"user.child5...79",0,"G1","60"
"sys.child5...80",0,"G1","60"
"user.self6...81",35.986,"G1","60"
"sys.self6...82",0.808,"G1","60"
"elapsed6...83",38.404,"G1","60"
"user.child6...84",0,"G1","60"
"sys.child6...85",0,"G1","60"
"user.self7...86",38.325,"G1","60"
"sys.self7...87",0.839,"G1","60"
"elapsed7...88",40.907,"G1","60"
"user.child7...89",0,"G1","60"
"sys.child7...90",0,"G1","60"
"user.self8...91",36.141,"G1","60"
"sys.self8...92",0.905,"G1","60"
"elapsed8...93",38.65,"G1","60"
"user.child8...94",0,"G1","60"
"sys.child8...95",0,"G1","60"
"user.self9...96",26.936,"G1","60"
"sys.self9...97",0.744,"G1","60"
"elapsed9...98",28.09,"G1","60"
"user.child9...99",0,"G1","60"
"sys.child9...100",0,"G1","60"
"user.self...101",50.776,"G2","20"
"sys.self...102",3.749,"G2","20"
"elapsed...103",60.678,"G2","20"
"user.child...104",0,"G2","20"
"sys.child...105",0,"G2","20"
"user.self1...106",44.023,"G2","20"
"sys.self1...107",2.359,"G2","20"
"elapsed1...108",48.494,"G2","20"
"user.child1...109",0,"G2","20"
"sys.child1...110",0,"G2","20"
"user.self2...111",51.001,"G2","20"
"sys.self2...112",3.729,"G2","20"
"elapsed2...113",61.313,"G2","20"
"user.child2...114",0,"G2","20"
"sys.child2...115",0,"G2","20"
"user.self3...116",55.394,"G2","20"
"sys.self3...117",4.384,"G2","20"
"elapsed3...118",67.009,"G2","20"
"user.child3...119",0,"G2","20"
"sys.child3...120",0,"G2","20"
"user.self4...121",57.01,"G2","20"
"sys.self4...122",4.159,"G2","20"
"elapsed4...123",68.147,"G2","20"
"user.child4...124",0,"G2","20"
"sys.child4...125",0,"G2","20"
"user.self5...126",37.768,"G2","20"
"sys.self5...127",2.074,"G2","20"
"elapsed5...128",40.979,"G2","20"
"user.child5...129",0,"G2","20"
"sys.child5...130",0,"G2","20"
"user.self6...131",54.387,"G2","20"
"sys.self6...132",4.094,"G2","20"
"elapsed6...133",65.147,"G2","20"
"user.child6...134",0,"G2","20"
"sys.child6...135",0,"G2","20"
"user.self7...136",53.225,"G2","20"
"sys.self7...137",4.504,"G2","20"
"elapsed7...138",63.971,"G2","20"
"user.child7...139",0,"G2","20"
"sys.child7...140",0,"G2","20"
"user.self8...141",53.168,"G2","20"
"sys.self8...142",3.659,"G2","20"
"elapsed8...143",62.065,"G2","20"
"user.child8...144",0,"G2","20"
"sys.child8...145",0,"G2","20"
"user.self9...146",25.879,"G2","20"
"sys.self9...147",1.273,"G2","20"
"elapsed9...148",27.594,"G2","20"
"user.child9...149",0,"G2","20"
"sys.child9...150",0,"G2","20"
"user.self...151",59.494,"G2","60"
"sys.self...152",9.3,"G2","60"
"elapsed...153",80.918,"G2","60"
"user.child...154",0,"G2","60"
"sys.child...155",0,"G2","60"
"user.self1...156",66.751,"G2","60"
"sys.self1...157",3.009,"G2","60"
"elapsed1...158",72.3870000000001,"G2","60"
"user.child1...159",0,"G2","60"
"sys.child1...160",0,"G2","60"
"user.self2...161",52.154,"G2","60"
"sys.self2...162",7.379,"G2","60"
"elapsed2...163",69.875,"G2","60"
"user.child2...164",0,"G2","60"
"sys.child2...165",0,"G2","60"
"user.self3...166",79.014,"G2","60"
"sys.self3...167",12.603,"G2","60"
"elapsed3...168",106.681,"G2","60"
"user.child3...169",0,"G2","60"
"sys.child3...170",0,"G2","60"
"user.self4...171",53.847,"G2","60"
"sys.self4...172",7.828,"G2","60"
"elapsed4...173",73.094,"G2","60"
"user.child4...174",0,"G2","60"
"sys.child4...175",0,"G2","60"
"user.self5...176",37.796,"G2","60"
"sys.self5...177",2.755,"G2","60"
"elapsed5...178",42.401,"G2","60"
"user.child5...179",0,"G2","60"
"sys.child5...180",0,"G2","60"
"user.self6...181",52.588,"G2","60"
"sys.self6...182",7.915,"G2","60"
"elapsed6...183",71.84,"G2","60"
"user.child6...184",0,"G2","60"
"sys.child6...185",0,"G2","60"
"user.self7...186",52.819,"G2","60"
"sys.self7...187",8.612,"G2","60"
"elapsed7...188",72.675,"G2","60"
"user.child7...189",0,"G2","60"
"sys.child7...190",0,"G2","60"
"user.self8...191",50.831,"G2","60"
"sys.self8...192",6.533,"G2","60"
"elapsed8...193",66.289,"G2","60"
"user.child8...194",0,"G2","60"
"sys.child8...195",0,"G2","60"
"user.self9...196",25.728,"G2","60"
"sys.self9...197",1.382,"G2","60"
"elapsed9...198",27.71,"G2","60"
"user.child9...199",0,"G2","60"
"sys.child9...200",0,"G2","60"
"user.self...201",62.001,"G3","20"
"sys.self...202",26.231,"G3","20"
"elapsed...203",119.657,"G3","20"
"user.child...204",0,"G3","20"
"sys.child...205",0,"G3","20"
"user.self1...206",45.189,"G3","20"
"sys.self1...207",9.923,"G3","20"
"elapsed1...208",62.87,"G3","20"
"user.child1...209",0,"G3","20"
"sys.child1...210",0,"G3","20"
"user.self2...211",57.647,"G3","20"
"sys.self2...212",24.246,"G3","20"
"elapsed2...213",110.953,"G3","20"
"user.child2...214",0,"G3","20"
"sys.child2...215",0,"G3","20"
"user.self3...216",66.476,"G3","20"
"sys.self3...217",38.352,"G3","20"
"elapsed3...218",146.027,"G3","20"
"user.child3...219",0,"G3","20"
"sys.child3...220",0,"G3","20"
"user.self4...221",69.896,"G3","20"
"sys.self4...222",31.935,"G3","20"
"elapsed4...223",139.307,"G3","20"
"user.child4...224",0,"G3","20"
"sys.child4...225",0,"G3","20"
"user.self5...226",36.143,"G3","20"
"sys.self5...227",3.226,"G3","20"
"elapsed5...228",40.612,"G3","20"
"user.child5...229",0,"G3","20"
"sys.child5...230",0,"G3","20"
"user.self6...231",66.263,"G3","20"
"sys.self6...232",30.038,"G3","20"
"elapsed6...233",131.338,"G3","20"
"user.child6...234",0,"G3","20"
"sys.child6...235",0,"G3","20"
"user.self7...236",65.685,"G3","20"
"sys.self7...237",27.811,"G3","20"
"elapsed7...238",127.233,"G3","20"
"user.child7...239",0,"G3","20"
"sys.child7...240",0,"G3","20"
"user.self8...241",65.1,"G3","20"
"sys.self8...242",25.897,"G3","20"
"elapsed8...243",120.543,"G3","20"
"user.child8...244",0,"G3","20"
"sys.child8...245",0,"G3","20"
"user.self9...246",23.447,"G3","20"
"sys.self9...247",2.312,"G3","20"
"elapsed9...248",26.4140000000001,"G3","20"
"user.child9...249",0,"G3","20"
"sys.child9...250",0,"G3","20"
"user.self...251",68.193,"G3","60"
"sys.self...252",36.403,"G3","60"
"elapsed...253",145.785,"G3","60"
"user.child...254",0,"G3","60"
"sys.child...255",0,"G3","60"
"user.self1...256",43.289,"G3","60"
"sys.self1...257",6.18599999999999,"G3","60"
"elapsed1...258",52.9859999999999,"G3","60"
